Order_Number,Order_Date,Ship_Date,Customer_Name_Index,Channel,Currency_Code,Warehouse_Code,Delivery_Region_Index,Product_Description_Index,Order_Quantity,Unit_Selling_Price,Unit_Cost
SO - 0002685,3/21/2021,3/26/2021,36,Distributor,USD,AXW291,86,3,9,2539.3,1523.58
SO - 0003366,3/21/2021,4/6/2021,45,Wholesale,NZD,AXW291,40,1,8,2539.3,1929.868
SO - 0005387,3/21/2021,4/2/2021,12,Wholesale,AUD,AXW291,19,11,12,3082,1356.08
SO - 000112,3/22/2021,3/30/2021,21,Distributor,USD,AXW291,76,11,8,6277.9,2762.276
SO - 0002329,3/22/2021,3/27/2021,3,Distributor,NZD,AXW291,64,6,7,5567.7,3284.943
SO - 0002535,3/22/2021,4/1/2021,9,Wholesale,NZD,AXW291,93,5,7,5360,2840.8
SO - 0003525,3/22/2021,4/4/2021,39,Wholesale,NZD,AXW291,20,7,12,5989.8,4552.248
SO - 0003710,3/22/2021,4/6/2021,35,Export,NZD,AXW291,15,2,9,2418.7,1547.968
SO - 0004631,3/22/2021,4/8/2021,2,Export,GBP,AXW291,48,2,5,1815.7,1034.949
SO - 0005682,3/22/2021,3/25/2021,42,Wholesale,USD,AXW291,60,7,12,1045.2,491.244
SO - 0006700,3/22/2021,4/3/2021,36,Distributor,USD,AXW291,80,5,9,1031.8,794.486
SO - 0007459,3/22/2021,3/30/2021,28,Wholesale,USD,AXW291,74,4,5,1025.1,717.57
SO - 000605,3/23/2021,4/5/2021,34,Distributor,EUR,AXW291,75,11,5,938,478.38
SO - 0004849,3/23/2021,4/9/2021,26,Wholesale,NZD,AXW291,90,9,11,3859.2,1929.6
SO - 0006342,3/23/2021,4/4/2021,16,Wholesale,NZD,AXW291,84,7,11,2626.4,1891.008
SO - 0006891,3/23/2021,3/27/2021,12,Wholesale,NZD,AXW291,9,1,10,3999.9,2999.925
SO - 000778,3/24/2021,3/27/2021,17,Export,AUD,AXW291,61,6,5,1165.8,944.298
SO - 000941,3/24/2021,3/31/2021,17,Wholesale,USD,AXW291,89,7,10,3939.6,2678.928
SO - 0001062,3/24/2021,3/27/2021,29,Wholesale,NZD,AXW291,43,1,8,864.3,553.152
SO - 0001339,3/24/2021,3/29/2021,4,Wholesale,NZD,AXW291,88,1,6,2653.2,1538.856
SO - 0002891,3/24/2021,3/27/2021,41,Wholesale,USD,AXW291,80,11,9,6385.1,4724.974
SO - 0003558,3/24/2021,4/8/2021,5,Wholesale,GBP,AXW291,91,1,7,3189.2,2423.792
SO - 0004703,3/24/2021,4/5/2021,37,Distributor,USD,AXW291,88,1,12,1005,572.85
SO - 0005211,3/24/2021,4/8/2021,20,Distributor,NZD,AXW291,27,11,7,207.7,137.082
SO - 0007109,3/24/2021,4/7/2021,47,Wholesale,NZD,AXW291,65,1,11,1199.3,515.699
SO - 0007279,3/24/2021,4/3/2021,4,Wholesale,NZD,AXW291,52,14,6,201,104.52
SO - 0007868,3/24/2021,4/7/2021,50,Distributor,USD,AXW291,80,5,9,850.9,433.959
SO - 000412,3/25/2021,4/7/2021,36,Wholesale,EUR,AXW291,47,11,8,1105.5,851.235
SO - 000679,3/25/2021,4/2/2021,6,Distributor,NZD,AXW291,35,13,7,2512.5,2135.625
SO - 000999,3/25/2021,4/6/2021,19,Export,AUD,AXW291,72,2,9,1876,900.48
SO - 0001673,3/25/2021,4/4/2021,7,Wholesale,AUD,AXW291,53,5,7,1092.1,786.312
SO - 0002816,3/25/2021,4/5/2021,20,Distributor,USD,AXW291,57,10,8,871,383.24
SO - 0006356,3/25/2021,4/7/2021,48,Distributor,USD,AXW291,47,2,7,2539.3,1244.257
SO - 0006621,3/25/2021,3/31/2021,30,Wholesale,AUD,AXW291,38,2,8,1688.4,675.36
SO - 0006969,3/25/2021,4/11/2021,15,Distributor,AUD,AXW291,73,13,9,2432.1,1653.828
SO - 0007148,3/25/2021,4/4/2021,47,Wholesale,NZD,AXW291,60,6,9,1983.2,1408.072
SO - 000364,3/26/2021,3/29/2021,48,Distributor,USD,AXW291,70,7,8,1802.3,1153.472
SO - 0002074,3/26/2021,3/31/2021,39,Wholesale,USD,AXW291,98,7,10,5594.5,2517.525
SO - 0002239,3/26/2021,4/7/2021,29,Distributor,AUD,AXW291,33,12,12,2532.6,1443.582
SO - 0004826,3/26/2021,4/13/2021,7,Distributor,AUD,AXW291,88,2,7,1118.9,850.364
SO - 0005070,3/26/2021,4/1/2021,48,Distributor,NZD,AXW291,89,11,5,254.6,106.932
SO - 0006006,3/26/2021,4/4/2021,2,Wholesale,NZD,AXW291,52,7,7,984.9,679.581
SO - 0003866,3/27/2021,4/2/2021,29,Wholesale,NZD,AXW291,61,11,6,2345,1758.75
SO - 0004245,3/27/2021,4/13/2021,22,Distributor,GBP,AXW291,60,1,12,3973.1,3019.556
SO - 0004771,3/27/2021,4/1/2021,37,Wholesale,USD,AXW291,32,9,6,2673.3,1764.378
SO - 0006272,3/27/2021,4/1/2021,18,Wholesale,NZD,AXW291,75,1,6,2659.9,1649.138
SO - 0006360,3/27/2021,4/11/2021,44,Export,NZD,AXW291,64,9,10,3323.2,2592.096
SO - 0006998,3/27/2021,4/4/2021,35,Wholesale,NZD,AXW291,62,2,10,3906.1,1757.745
SO - 0007357,3/27/2021,4/10/2021,47,Wholesale,EUR,AXW291,19,6,11,1105.5,762.795
SO - 0007890,3/27/2021,4/14/2021,36,Export,NZD,AXW291,61,11,10,1313.2,866.712
SO - 0001276,3/28/2021,4/3/2021,1,Distributor,NZD,AXW291,89,10,5,1005,683.4
SO - 0002513,3/28/2021,4/8/2021,21,Export,NZD,AXW291,58,1,8,1882.7,1016.658
SO - 0004454,3/28/2021,4/7/2021,10,Distributor,USD,AXW291,40,1,8,1762.1,1356.817
SO - 0004662,3/28/2021,4/4/2021,37,Wholesale,GBP,AXW291,96,5,6,5949.6,2498.832
SO - 0005185,3/28/2021,4/11/2021,28,Distributor,NZD,AXW291,15,5,5,2398.6,1703.006
SO - 0006478,3/28/2021,4/14/2021,47,Wholesale,USD,AXW291,20,8,5,1092.1,458.682
SO - 0007231,3/28/2021,4/3/2021,4,Export,USD,AXW291,59,5,5,5735.2,2580.84
SO - 0007910,3/28/2021,4/15/2021,22,Distributor,USD,AXW291,48,7,12,676.7,541.36
SO - 000621,3/29/2021,4/4/2021,17,Export,EUR,AXW291,63,7,7,1072,707.52
SO - 000795,3/29/2021,4/14/2021,45,Wholesale,USD,AXW291,90,2,7,1139,831.47
SO - 0001043,3/29/2021,4/15/2021,39,Wholesale,AUD,AXW291,34,7,6,5681.6,2613.536
SO - 0002898,3/29/2021,4/9/2021,9,Wholesale,USD,AXW291,93,11,8,3765.4,1656.776
SO - 0003890,3/29/2021,4/7/2021,7,Wholesale,NZD,AXW291,38,1,12,917.9,614.993
SO - 0003913,3/29/2021,4/7/2021,47,Wholesale,NZD,AXW291,57,7,6,1768.8,1167.408
SO - 0005659,3/29/2021,4/13/2021,38,Wholesale,AUD,AXW291,77,11,5,3142.3,2419.571
SO - 0007362,3/29/2021,4/1/2021,32,Export,NZD,AXW291,57,7,6,1031.8,433.356
SO - 0007418,3/29/2021,4/4/2021,46,Wholesale,NZD,AXW291,94,11,6,1011.7,829.594
SO - 0007993,3/29/2021,4/2/2021,3,Distributor,EUR,AXW291,70,7,8,1005,472.35
SO - 0008002,3/29/2021,4/9/2021,38,Wholesale,USD,AXW291,23,1,9,3551,2308.15
SO - 0001217,3/30/2021,4/6/2021,36,Wholesale,NZD,AXW291,88,1,6,2010,1185.9
SO - 0002281,3/30/2021,4/11/2021,1,Distributor,AUD,AXW291,19,7,7,1802.3,720.92
SO - 0003151,3/30/2021,4/3/2021,9,Distributor,USD,AXW291,68,5,8,1005,603
SO - 0005960,3/30/2021,4/15/2021,12,Distributor,NZD,AXW291,37,10,10,2539.3,1498.187
SO - 0006389,3/30/2021,4/17/2021,22,Wholesale,NZD,AXW291,49,11,7,1139,455.6
SO - 0001084,3/31/2021,4/12/2021,11,Distributor,USD,AXW291,52,7,7,201,86.43
SO - 0003466,3/31/2021,4/16/2021,12,Wholesale,NZD,AXW291,39,14,6,254.6,142.576
SO - 0006655,3/31/2021,4/4/2021,49,Wholesale,AUD,AXW291,36,5,8,1145.7,618.678
SO - 0007296,3/31/2021,4/8/2021,43,Export,NZD,AXW291,42,1,12,6251.1,2938.017
SO - 000305,4/1/2021,4/13/2021,32,Wholesale,AUD,AXW291,24,1,11,3477.3,2190.699
SO - 000831,4/1/2021,4/10/2021,8,Wholesale,AUD,AXW291,1,5,8,2619.7,1074.077
SO - 000959,4/1/2021,4/18/2021,36,Wholesale,NZD,AXW291,47,9,8,1065.3,511.344
SO - 0001155,4/1/2021,4/15/2021,18,Wholesale,NZD,AXW291,49,4,9,1038.5,643.87
SO - 0002554,4/1/2021,4/9/2021,18,Wholesale,USD,AXW291,16,2,8,931.3,409.772
SO - 0003783,4/1/2021,4/8/2021,28,Distributor,GBP,AXW291,12,14,10,1005,623.1
SO - 0003800,4/1/2021,4/19/2021,47,Wholesale,USD,AXW291,74,5,5,5621.3,2754.437
SO - 0004502,4/1/2021,4/17/2021,9,Wholesale,NZD,AXW291,5,5,11,3986.5,2391.9
SO - 0005783,4/1/2021,4/17/2021,39,Wholesale,USD,AXW291,54,13,9,1132.3,702.026
SO - 0005855,4/1/2021,4/12/2021,16,Distributor,GBP,AXW291,3,1,11,3899.4,2456.622
SO - 0001193,4/2/2021,4/12/2021,5,Wholesale,AUD,AXW291,11,11,6,1072,911.2
SO - 0003765,4/2/2021,4/18/2021,50,Distributor,NZD,AXW291,93,11,6,3979.8,2626.668
SO - 0005253,4/2/2021,4/20/2021,33,Wholesale,USD,AXW291,20,1,6,194.3,114.637
SO - 0007263,4/2/2021,4/6/2021,18,Distributor,USD,AXW291,33,1,11,1078.7,755.09
SO - 0007709,4/2/2021,4/19/2021,46,Wholesale,GBP,AXW291,57,11,12,167.5,97.15
SO - 000546,4/3/2021,4/15/2021,39,Distributor,USD,AXW291,65,2,9,1219.4,560.924
SO - 000716,4/3/2021,4/18/2021,16,Wholesale,EUR,AXW291,93,4,8,3966.4,2816.144
SO - 000730,4/3/2021,4/11/2021,49,Distributor,EUR,AXW291,75,1,11,3825.7,1530.28
SO - 0002530,4/3/2021,4/12/2021,31,Distributor,EUR,AXW291,78,6,6,1755.4,1228.78
SO - 0005226,4/3/2021,4/20/2021,28,Export,AUD,AXW291,86,2,8,6231,3177.81
SO - 0005494,4/3/2021,4/18/2021,2,Distributor,USD,AXW291,9,5,5,1306.5,718.575
SO - 0005724,4/3/2021,4/20/2021,43,Distributor,USD,AXW291,22,1,8,757.1,386.121
SO - 0005780,4/3/2021,4/19/2021,42,Distributor,GBP,AXW291,76,4,11,1078.7,787.451
SO - 0005859,4/3/2021,4/17/2021,14,Wholesale,USD,AXW291,2,13,7,180.9,144.72
SO - 0006339,4/3/2021,4/7/2021,22,Distributor,NZD,AXW291,56,13,10,2881,2362.42
SO - 000514,4/4/2021,4/15/2021,6,Wholesale,NZD,AXW291,20,1,7,3966.4,3054.128
SO - 0002562,4/4/2021,4/15/2021,24,Distributor,USD,AXW291,94,5,7,4013.3,2287.581
SO - 0002675,4/4/2021,4/7/2021,18,Wholesale,NZD,AXW291,41,11,11,1795.6,1023.492
SO - 0003149,4/4/2021,4/21/2021,35,Export,USD,AXW291,83,2,12,984.9,699.279
SO - 0004610,4/4/2021,4/15/2021,43,Export,NZD,AXW291,25,10,7,3852.5,3197.575
SO - 0006658,4/4/2021,4/15/2021,11,Wholesale,USD,AXW291,42,14,7,1809,1139.67
SO - 0004572,4/5/2021,4/15/2021,31,Wholesale,NZD,AXW291,31,2,8,2385.2,1526.528
SO - 0004887,4/5/2021,4/17/2021,47,Distributor,NZD,AXW291,42,7,6,2539.3,1015.72
SO - 000309,4/6/2021,4/17/2021,21,Export,GBP,AXW291,90,7,11,1125.6,787.92
SO - 0001262,4/6/2021,4/23/2021,48,Export,GBP,AXW291,48,10,10,1118.9,525.883
SO - 0003400,4/6/2021,4/11/2021,10,Wholesale,NZD,AXW291,41,7,10,817.4,645.746
SO - 0006266,4/6/2021,4/10/2021,3,Wholesale,USD,AXW291,51,2,9,857.6,728.96
SO - 000179,4/7/2021,4/17/2021,42,Distributor,USD,AXW291,65,7,8,261.3,143.715
SO - 0001304,4/7/2021,4/18/2021,10,Distributor,USD,AXW291,35,2,11,5607.9,3757.293
SO - 0002802,4/7/2021,4/19/2021,11,Distributor,EUR,AXW291,59,1,7,2559.4,1612.422
SO - 0004547,4/7/2021,4/14/2021,9,Wholesale,NZD,AXW291,83,7,10,1139,569.5
SO - 0006119,4/7/2021,4/13/2021,46,Distributor,USD,AXW291,40,1,9,2244.5,1391.59
SO - 0006129,4/7/2021,4/20/2021,36,Wholesale,USD,AXW291,24,1,8,3999.9,2199.945
SO - 0006466,4/7/2021,4/24/2021,3,Wholesale,EUR,AXW291,80,7,10,3953,2885.69
SO - 0007037,4/7/2021,4/10/2021,41,Distributor,NZD,AXW291,81,13,5,2492.4,1296.048
SO - 000188,4/8/2021,4/19/2021,27,Export,NZD,AXW291,92,13,7,3892.7,2724.89
SO - 0001577,4/8/2021,4/15/2021,1,Wholesale,GBP,AXW291,58,9,7,891.1,365.351
SO - 0006439,4/8/2021,4/19/2021,5,Distributor,NZD,AXW291,31,5,10,864.3,432.15
SO - 0006774,4/8/2021,4/12/2021,37,Wholesale,USD,AXW291,94,9,11,5232.7,2459.369
SO - 000358,4/9/2021,4/12/2021,41,Wholesale,GBP,AXW291,77,2,5,3082,1510.18
SO - 0001393,4/9/2021,4/15/2021,20,Wholesale,USD,AXW291,55,12,11,857.6,548.864
SO - 0003640,4/9/2021,4/24/2021,20,Export,USD,AXW291,15,5,12,1165.8,489.636
SO - 0004960,4/9/2021,4/22/2021,7,Wholesale,NZD,AXW291,47,7,12,3926.2,2944.65
SO - 0005835,4/9/2021,4/16/2021,32,Export,NZD,AXW291,31,5,12,1092.1,709.865
SO - 0006375,4/9/2021,4/17/2021,20,Export,USD,AXW291,83,14,12,904.5,407.025
SO - 000636,4/10/2021,4/18/2021,4,Distributor,USD,AXW291,81,1,10,6391.8,5113.44
SO - 000929,4/10/2021,4/16/2021,14,Export,EUR,AXW291,22,2,9,261.3,198.588
SO - 0001496,4/10/2021,4/19/2021,47,Export,GBP,AXW291,9,7,12,4013.3,2729.044
SO - 0003986,4/10/2021,4/18/2021,27,Distributor,AUD,AXW291,64,1,5,5768.7,4384.212
SO - 0006073,4/10/2021,4/16/2021,40,Distributor,USD,AXW291,20,2,8,1728.6,726.012
SO - 000376,4/11/2021,4/15/2021,43,Wholesale,NZD,AXW291,81,2,7,3919.5,2234.115
SO - 000869,4/11/2021,4/25/2021,25,Wholesale,NZD,AXW291,36,7,6,2666.6,1253.302
SO - 0002032,4/11/2021,4/27/2021,47,Distributor,USD,AXW291,1,13,7,201,142.71
SO - 0002322,4/11/2021,4/29/2021,33,Wholesale,USD,AXW291,83,7,11,6505.7,3578.135
SO - 0002623,4/11/2021,4/28/2021,20,Export,NZD,AXW291,97,7,9,1869.3,1177.659
SO - 0002630,4/11/2021,4/29/2021,16,Wholesale,USD,AXW291,95,7,6,2412,1061.28
SO - 0002687,4/11/2021,4/16/2021,10,Export,NZD,AXW291,25,1,6,5246.1,2780.433
SO - 0006210,4/11/2021,4/15/2021,40,Wholesale,USD,AXW291,30,2,9,1058.6,762.192
SO - 0007590,4/11/2021,4/20/2021,24,Wholesale,NZD,AXW291,23,10,12,3886,1904.14
SO - 000368,4/12/2021,4/21/2021,1,Wholesale,NZD,AXW291,34,7,10,5098.7,3416.129
SO - 0002817,4/12/2021,4/18/2021,47,Export,GBP,AXW291,76,1,5,1105.5,442.2
SO - 0003407,4/12/2021,4/27/2021,30,Wholesale,USD,AXW291,99,9,10,261.3,198.588
SO - 0004452,4/12/2021,4/24/2021,22,Distributor,NZD,AXW291,81,2,8,2318.2,1043.19
SO - 0005529,4/12/2021,4/25/2021,3,Wholesale,AUD,AXW291,97,5,7,241.2,113.364
SO - 0006005,4/12/2021,4/16/2021,9,Export,NZD,AXW291,2,14,9,2512.5,1231.125
SO - 0007769,4/12/2021,4/21/2021,15,Distributor,AUD,AXW291,97,2,11,6371.7,3249.567
SO - 0001066,4/13/2021,4/17/2021,47,Wholesale,USD,AXW291,73,1,6,884.4,619.08
SO - 0006050,4/13/2021,4/25/2021,14,Wholesale,NZD,AXW291,83,1,6,2572.8,1312.128
SO - 0001154,4/14/2021,4/25/2021,35,Wholesale,NZD,AXW291,89,7,10,1695.1,1254.374
SO - 0001196,4/14/2021,4/20/2021,11,Export,NZD,AXW291,30,1,11,904.5,615.06
SO - 0001492,4/14/2021,4/26/2021,48,Distributor,USD,AXW291,21,7,7,1112.2,500.49
SO - 0005601,4/14/2021,4/28/2021,14,Wholesale,NZD,AXW291,27,7,10,1695.1,1406.933
SO - 0005934,4/14/2021,4/25/2021,11,Distributor,AUD,AXW291,9,1,10,3865.9,1585.019
SO - 000735,4/15/2021,4/21/2021,19,Export,NZD,AXW291,36,2,8,1809,1013.04
SO - 0001733,4/15/2021,5/1/2021,20,Wholesale,USD,AXW291,35,2,5,3001.6,2191.168
SO - 0003843,4/15/2021,5/3/2021,8,Wholesale,GBP,AXW291,13,1,8,1976.5,1620.73
SO - 0004200,4/15/2021,4/29/2021,32,Wholesale,EUR,AXW291,95,5,7,221.1,112.761
SO - 0004691,4/15/2021,5/3/2021,33,Distributor,USD,AXW291,66,7,5,3242.8,2561.812
SO - 0006366,4/15/2021,4/22/2021,36,Wholesale,NZD,AXW291,96,5,5,1715.2,1080.576
SO - 0006915,4/15/2021,5/2/2021,25,Distributor,USD,AXW291,100,2,5,201,158.79
SO - 0007112,4/15/2021,4/20/2021,10,Distributor,NZD,AXW291,51,5,6,3169.1,2440.207
SO - 000458,4/16/2021,5/3/2021,35,Distributor,NZD,AXW291,74,1,10,1065.3,575.262
SO - 000945,4/16/2021,5/2/2021,15,Wholesale,NZD,AXW291,74,8,12,5480.6,3233.554
SO - 0001983,4/16/2021,4/29/2021,19,Wholesale,GBP,AXW291,85,9,12,3537.6,3006.96
SO - 0002169,4/16/2021,4/23/2021,30,Distributor,GBP,AXW291,67,6,11,1118.9,794.419
SO - 0003697,4/16/2021,4/28/2021,45,Wholesale,NZD,AXW291,38,2,7,2532.6,1874.124
SO - 0004437,4/16/2021,4/29/2021,37,Wholesale,GBP,AXW291,66,2,6,1085.4,586.116
SO - 0006099,4/16/2021,4/27/2021,16,Distributor,AUD,AXW291,82,7,5,1152.4,691.44
SO - 0007616,4/16/2021,4/25/2021,18,Distributor,NZD,AXW291,81,11,10,1139,455.6
SO - 0007966,4/16/2021,4/28/2021,50,Distributor,AUD,AXW291,6,11,11,938,637.84
SO - 0001574,4/17/2021,4/22/2021,49,Wholesale,AUD,AXW291,60,13,9,1936.3,910.061
SO - 0003442,4/17/2021,4/29/2021,16,Wholesale,NZD,AXW291,33,5,10,6378.4,3061.632
SO - 0004907,4/17/2021,4/29/2021,47,Distributor,GBP,AXW291,49,1,11,1139,660.62
SO - 0005763,4/17/2021,4/28/2021,1,Distributor,NZD,AXW291,64,1,6,3879.3,2599.131
SO - 0006562,4/17/2021,5/3/2021,8,Wholesale,EUR,AXW291,25,11,6,3845.8,2961.266
SO - 0006674,4/17/2021,4/23/2021,9,Distributor,EUR,AXW291,40,7,6,194.3,110.751
SO - 0006741,4/17/2021,5/1/2021,14,Wholesale,USD,AXW291,48,5,11,5165.7,2996.106
SO - 0006907,4/17/2021,4/21/2021,9,Distributor,NZD,AXW291,37,5,11,850.9,714.756
SO - 0007960,4/17/2021,4/20/2021,7,Wholesale,NZD,AXW291,24,13,8,984.9,837.165
SO - 000479,4/18/2021,4/26/2021,8,Export,AUD,AXW291,20,5,5,1078.7,506.989
SO - 000794,4/18/2021,4/26/2021,42,Distributor,NZD,AXW291,4,11,6,1675,954.75
SO - 0001732,4/18/2021,4/25/2021,27,Distributor,NZD,AXW291,2,1,11,2331.6,1585.488
SO - 0004295,4/18/2021,4/23/2021,44,Distributor,USD,AXW291,52,2,5,234.5,124.285
SO - 0005359,4/18/2021,4/24/2021,50,Distributor,AUD,AXW291,93,9,6,1762.1,1427.301
SO - 0005516,4/18/2021,4/26/2021,3,Distributor,NZD,AXW291,44,11,8,3999.9,3399.915
SO - 0006471,4/18/2021,5/1/2021,4,Wholesale,USD,AXW291,39,2,5,1159.1,915.689
SO - 0002040,4/19/2021,4/22/2021,4,Distributor,NZD,AXW291,2,2,6,1809,1519.56
SO - 0005388,4/19/2021,5/5/2021,3,Export,NZD,AXW291,84,9,5,167.5,105.525
SO - 0007495,4/19/2021,5/2/2021,24,Distributor,GBP,AXW291,68,2,8,696.8,292.656
SO - 0007611,4/19/2021,5/7/2021,28,Wholesale,EUR,AXW291,98,7,5,2566.1,1026.44
SO - 0007869,4/19/2021,5/5/2021,11,Wholesale,USD,AXW291,55,14,12,3604.6,2379.036
SO - 000392,4/20/2021,4/25/2021,47,Wholesale,AUD,AXW291,61,1,12,167.5,82.075
SO - 000496,4/20/2021,4/27/2021,22,Distributor,NZD,AXW291,57,7,7,1822.4,947.648
SO - 0001904,4/20/2021,5/5/2021,33,Distributor,NZD,AXW291,96,9,8,3979.8,2905.254
SO - 0002016,4/20/2021,5/4/2021,42,Wholesale,AUD,AXW291,90,1,8,1045.2,752.544
SO - 0002388,4/20/2021,4/29/2021,31,Wholesale,NZD,AXW291,90,11,8,2686.7,1423.951
SO - 0002649,4/20/2021,5/5/2021,10,Distributor,USD,AXW291,94,8,11,5748.6,3736.59
SO - 0002782,4/20/2021,5/1/2021,14,Wholesale,EUR,AXW291,38,10,10,5688.3,4209.342
SO - 0004420,4/20/2021,5/6/2021,44,Wholesale,GBP,AXW291,27,7,8,3966.4,1824.544
SO - 0004837,4/20/2021,5/3/2021,22,Wholesale,NZD,AXW291,17,13,5,1072,568.16
SO - 0005315,4/20/2021,5/7/2021,6,Distributor,NZD,AXW291,21,2,11,261.3,222.105
SO - 0005520,4/20/2021,5/7/2021,6,Distributor,USD,AXW291,59,2,8,998.3,848.555
SO - 0007622,4/20/2021,5/8/2021,45,Wholesale,USD,AXW291,90,14,7,3463.9,2909.676
SO - 0007989,4/20/2021,4/26/2021,36,Export,NZD,AXW291,79,7,7,1005,422.1
SO - 0008018,4/20/2021,5/2/2021,1,Wholesale,AUD,AXW291,8,2,11,1943,1573.83
SO - 0003038,4/21/2021,5/3/2021,27,Wholesale,AUD,AXW291,97,7,12,174.2,97.552
SO - 0003873,4/21/2021,4/28/2021,28,Export,NZD,AXW291,94,9,9,234.5,164.15
SO - 0004439,4/21/2021,5/3/2021,40,Wholesale,NZD,AXW291,34,10,11,2586.2,1163.79
SO - 0006794,4/21/2021,5/8/2021,12,Wholesale,NZD,AXW291,65,4,11,1172.5,492.45
SO - 0001609,4/22/2021,5/5/2021,16,Wholesale,GBP,AXW291,89,5,9,1842.5,1529.275
SO - 0002617,4/22/2021,4/29/2021,34,Distributor,AUD,AXW291,62,2,7,6264.5,4698.375
SO - 0002841,4/22/2021,5/6/2021,21,Export,NZD,AXW291,20,2,12,710.2,419.018
SO - 0004269,4/22/2021,5/5/2021,47,Export,NZD,AXW291,56,1,8,2546,1603.98
SO - 0005041,4/22/2021,4/26/2021,39,Distributor,NZD,AXW291,89,13,11,1045.2,543.504
SO - 0005162,4/22/2021,5/3/2021,12,Distributor,NZD,AXW291,64,9,9,207.7,97.619
SO - 0006256,4/22/2021,5/8/2021,49,Distributor,USD,AXW291,38,1,8,3973.1,2622.246
SO - 0006721,4/22/2021,5/10/2021,8,Wholesale,NZD,AXW291,63,7,8,3477.3,1947.288
SO - 000251,4/23/2021,5/2/2021,25,Distributor,GBP,AXW291,14,1,10,221.1,185.724
SO - 0002009,4/23/2021,5/3/2021,42,Wholesale,GBP,AXW291,76,5,5,830.8,440.324
SO - 0002461,4/23/2021,5/2/2021,27,Export,NZD,AXW291,58,7,12,3852.5,1541
SO - 0002666,4/23/2021,5/10/2021,4,Wholesale,NZD,AXW291,53,11,11,1051.9,715.292
SO - 0003734,4/23/2021,5/10/2021,33,Distributor,USD,AXW291,17,11,7,1132.3,668.057
SO - 0004595,4/23/2021,5/3/2021,42,Distributor,AUD,AXW291,77,1,5,1936.3,793.883
SO - 0007708,4/23/2021,5/5/2021,25,Export,USD,AXW291,55,7,8,5869.2,2347.68
SO - 0001058,4/24/2021,5/7/2021,39,Wholesale,NZD,AXW291,85,10,6,1011.7,586.786
SO - 0002018,4/24/2021,5/3/2021,23,Wholesale,AUD,AXW291,76,13,7,2365.1,1087.946
SO - 0002577,4/24/2021,4/28/2021,41,Wholesale,NZD,AXW291,58,7,8,958.1,795.223
SO - 0002916,4/24/2021,4/30/2021,15,Wholesale,NZD,AXW291,64,9,12,3865.9,1662.337
SO - 0004258,4/24/2021,4/28/2021,21,Wholesale,USD,AXW291,34,4,9,1976.5,1067.31
SO - 0004310,4/24/2021,4/30/2021,46,Distributor,USD,AXW291,22,2,11,1112.2,912.004
SO - 0001330,4/25/2021,5/9/2021,14,Wholesale,NZD,AXW291,59,2,11,2680,2010
SO - 0001386,4/25/2021,5/13/2021,13,Distributor,AUD,AXW291,65,2,10,1045.2,637.572
SO - 0001702,4/25/2021,4/29/2021,23,Export,NZD,AXW291,45,3,10,3390.2,2746.062
SO - 0004301,4/25/2021,5/5/2021,33,Wholesale,NZD,AXW291,80,1,10,201,168.84
SO - 0004326,4/25/2021,5/3/2021,44,Distributor,NZD,AXW291,40,5,7,5366.7,3488.355
SO - 0006307,4/25/2021,5/7/2021,21,Distributor,USD,AXW291,87,2,11,5902.7,3069.404
SO - 000434,4/26/2021,5/4/2021,27,Wholesale,EUR,AXW291,7,1,10,2586.2,2094.822
SO - 0001107,4/26/2021,5/7/2021,3,Distributor,AUD,AXW291,37,11,9,3999.9,2559.936
SO - 0005737,4/26/2021,5/5/2021,34,Distributor,GBP,AXW291,65,8,11,3564.4,1639.624
SO - 0006133,4/26/2021,5/3/2021,17,Distributor,USD,AXW291,45,11,6,3879.3,3142.233
SO - 0006267,4/26/2021,4/30/2021,39,Wholesale,EUR,AXW291,55,1,6,3705.1,2260.111
SO - 0001590,4/27/2021,5/12/2021,32,Wholesale,USD,AXW291,44,1,10,201,124.62
SO - 0001661,4/27/2021,4/30/2021,43,Wholesale,USD,AXW291,16,1,10,1065.3,479.385
SO - 0001817,4/27/2021,5/14/2021,12,Distributor,GBP,AXW291,99,14,8,1125.6,562.8
SO - 0001975,4/27/2021,5/12/2021,19,Wholesale,NZD,AXW291,98,11,9,2525.9,1768.13
SO - 0006091,4/27/2021,5/2/2021,6,Wholesale,USD,AXW291,31,7,8,3142.3,2608.109
SO - 0006152,4/27/2021,5/15/2021,24,Wholesale,GBP,AXW291,35,2,5,2371.8,1043.592
SO - 0001580,4/28/2021,5/7/2021,20,Distributor,AUD,AXW291,30,5,11,1159.1,567.959
SO - 0002358,4/28/2021,5/13/2021,49,Wholesale,NZD,AXW291,69,2,10,2479,1512.19
SO - 0004034,4/28/2021,5/8/2021,27,Wholesale,NZD,AXW291,53,7,9,3953,2925.22
SO - 0004180,4/28/2021,5/14/2021,7,Wholesale,AUD,AXW291,86,7,8,1038.5,623.1
SO - 0004784,4/28/2021,5/8/2021,26,Wholesale,NZD,AXW291,53,5,8,2532.6,1519.56
SO - 0005808,4/28/2021,5/7/2021,12,Export,NZD,AXW291,3,1,5,5902.7,4958.268
SO - 0007604,4/28/2021,5/4/2021,2,Wholesale,GBP,AXW291,63,7,12,1896.1,1573.763
SO - 0007764,4/28/2021,5/14/2021,2,Distributor,EUR,AXW291,42,13,10,1078.7,453.054
